location,,S1,S2,S3,S4,S5
AUS,166.18849153658462,159.10193045420488,158.09121364729316,154.50395686506175,159.1359792557462,149.11855494857807
AUT,213.04248924636383,211.95745149450127,209.11631568217223,219.56287659576643,208.4786029521897,155.88084071215548
BRA,563.2665661721803,558.4171192853072,559.969011523465,557.6927293493245,558.4171192853165,142.9269132049356
CHN,119.82060840863213,119.37255679024369,120.5864547411338,115.88140066056107,119.37625252583264,123.48417338811278
CZE,226.45528071232008,219.92952856959482,212.73851735133576,218.74725809843986,222.59261826871276,201.97839221818012
DEU,199.42111282482333,202.76989915980886,216.0335579505958,206.26594216814138,203.97293467009663,184.15214530800156
ITA,163.1213094789469,168.03960550591367,177.02207545248555,168.5668873215513,165.08914955274355,240.8539328516696
JPN,339.89118561783283,341.69896273990895,350.00994171250426,338.0306459020944,341.67980696628723,312.14505907388985
KOR,220.62906403091364,218.3175805750037,219.0323122351278,215.65228849671718,218.61088587678302,334.9256034150326
ROE,179.66818767950153,186.46102644798898,185.94194707097353,186.58459018524215,185.16324033615655,168.99159429812326
ROW,249.30120880121163,250.3910211732365,243.87271473891468,246.7527674890766,251.13770819836424,210.40548613525758
USA,185.27282412481608,176.59718411823272,169.24469577385847,174.21285444681567,176.6598861192629,172.3471294613033
