time_operation,node,absolute_value_base,percentage_base,absolute_value_S1,percentage_S1,absolute_value_S2,percentage_S2,absolute_value_S3,percentage_S3,absolute_value_S4,percentage_S4,absolute_value_S5,percentage_S5
0,AUS,2.1,1.9,2.1,1.9,2.1,1.9,2.1,1.9,2.1,1.9,0.0,0.0
0,AUT,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0
0,BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CHN,39.4,35.5,39.4,35.5,39.4,35.5,39.4,35.5,39.4,35.5,39.6,35.7
0,CZE,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,0.3,0.3
0,DEU,4.2,3.8,4.2,3.8,4.2,3.8,4.2,3.8,4.2,3.8,4.2,3.8
0,ITA,2.9,2.6,2.9,2.6,2.9,2.6,2.9,2.6,2.9,2.6,0.0,0.0
0,JPN,7.7,6.9,7.7,6.9,7.7,6.9,7.7,6.9,7.7,6.9,6.0,5.4
0,KOR,4.5,4.0,4.5,4.0,4.5,4.0,4.5,4.0,4.5,4.0,3.6,3.3
0,ROE,14.0,12.6,14.0,12.6,14.0,12.6,14.0,12.6,14.0,12.6,14.0,12.6
0,ROW,7.7,7.0,7.7,7.0,7.7,7.0,7.7,7.0,7.7,7.0,11.9,10.7
0,USA,26.7,24.1,26.7,24.1,26.7,24.1,26.7,24.1,26.7,24.1,31.4,28.2
1,AUS,2.1,1.8,2.1,1.8,2.1,1.8,2.1,1.8,2.1,1.8,0.0,0.0
1,AUT,1.5,1.2,1.5,1.2,0.9,0.7,1.5,1.2,1.5,1.2,0.0,0.0
1,BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CHN,41.8,34.8,41.8,34.8,41.8,34.8,41.8,34.8,41.8,34.8,47.6,39.6
1,CZE,1.2,1.0,1.2,1.0,1.2,1.0,1.2,1.0,1.2,1.0,0.3,0.2
1,DEU,4.2,3.5,4.2,3.5,4.2,3.5,4.2,3.5,4.2,3.5,4.2,3.5
1,ITA,4.0,3.3,4.0,3.3,3.3,2.7,4.0,3.3,4.0,3.3,0.0,0.0
1,JPN,7.7,6.4,7.7,6.4,7.7,6.4,7.7,6.4,7.7,6.4,6.4,5.3
1,KOR,4.8,4.0,4.8,4.0,4.8,4.0,4.8,4.0,4.8,4.0,3.6,3.0
1,ROE,14.0,11.6,14.0,11.6,14.0,11.6,14.0,11.6,14.0,11.6,14.0,11.6
1,ROW,11.9,9.9,11.9,9.9,11.9,9.9,11.9,9.9,11.9,9.9,11.9,9.9
1,USA,26.8,22.3,26.8,22.3,28.2,23.4,26.8,22.3,26.8,22.3,32.1,26.7
2,AUS,2.1,1.6,2.1,1.6,2.1,1.6,2.1,1.6,2.1,1.6,0.0,0.0
2,AUT,1.5,1.1,1.5,1.1,1.5,1.1,1.5,1.1,1.5,1.1,0.0,0.0
2,BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CHN,44.8,34.4,44.8,34.4,44.8,34.4,44.8,34.4,44.8,34.4,52.3,40.1
2,CZE,1.2,1.0,1.2,1.0,1.2,1.0,1.2,1.0,1.2,1.0,1.2,1.0
2,DEU,4.2,3.3,4.2,3.3,4.2,3.3,4.2,3.3,4.2,3.3,4.2,3.3
2,ITA,4.0,3.1,4.0,3.1,4.0,3.1,4.0,3.1,4.0,3.1,0.0,0.0
2,JPN,7.7,5.9,7.7,5.9,7.7,5.9,7.7,5.9,7.7,5.9,9.1,7.0
2,KOR,5.2,3.9,5.2,3.9,5.2,3.9,5.2,3.9,5.2,3.9,3.6,2.8
2,ROE,14.0,10.7,14.0,10.7,14.0,10.7,14.0,10.7,14.0,10.7,14.0,10.7
2,ROW,11.9,9.1,11.9,9.1,11.9,9.1,11.9,9.1,11.9,9.1,11.9,9.1
2,USA,33.8,25.9,33.8,25.9,33.8,25.9,33.8,25.9,33.8,25.9,34.0,26.1
3,AUS,2.4,1.7,2.4,1.7,2.4,1.7,2.4,1.7,2.4,1.7,0.0,0.0
3,AUT,1.5,1.1,1.5,1.1,1.5,1.1,1.5,1.1,1.5,1.1,0.0,0.0
3,BRA,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.0,0.0
3,CHN,50.0,35.2,50.0,35.2,50.0,35.2,50.0,35.2,50.0,35.2,61.2,43.1
3,CZE,1.2,0.9,1.2,0.9,1.2,0.9,1.2,0.9,1.2,0.9,1.2,0.9
3,DEU,4.2,3.0,4.2,3.0,4.2,3.0,4.2,3.0,4.2,3.0,4.2,3.0
3,ITA,4.0,2.8,4.0,2.8,4.0,2.8,4.0,2.8,4.0,2.8,0.0,0.0
3,JPN,9.1,6.4,9.1,6.4,9.1,6.4,9.1,6.4,9.1,6.4,9.1,6.4
3,KOR,6.9,4.8,6.9,4.8,6.9,4.8,6.9,4.8,6.9,4.8,3.6,2.6
3,ROE,16.5,11.6,16.5,11.6,16.5,11.6,16.5,11.6,16.5,11.6,16.6,11.7
3,ROW,11.9,8.4,11.9,8.4,11.9,8.4,11.9,8.4,11.9,8.4,11.9,8.4
3,USA,34.0,24.0,34.0,24.0,34.0,24.0,34.0,24.0,34.0,24.0,34.0,24.0
4,AUS,2.5,1.6,2.5,1.6,2.5,1.6,2.5,1.6,2.5,1.6,0.0,0.0
4,AUT,1.5,1.0,1.5,1.0,1.5,1.0,1.5,1.0,1.5,1.0,0.0,0.0
4,BRA,1.5,1.0,1.5,1.0,1.5,1.0,1.5,1.0,1.5,1.0,0.0,0.0
4,CHN,53.4,34.5,53.4,34.5,53.4,34.5,53.4,34.5,53.4,34.5,68.5,44.3
4,CZE,1.6,1.0,1.6,1.0,1.2,0.8,1.6,1.0,1.6,1.0,1.2,0.8
4,DEU,4.2,2.7,4.2,2.7,4.2,2.7,4.2,2.7,4.2,2.7,5.3,3.4
4,ITA,4.0,2.6,4.0,2.6,4.0,2.6,4.0,2.6,4.0,2.6,0.0,0.0
4,JPN,9.1,5.9,9.1,5.9,9.1,5.9,9.1,5.9,9.1,5.9,9.1,5.9
4,KOR,6.9,4.4,6.9,4.4,6.9,4.4,6.9,4.4,6.9,4.4,3.6,2.3
4,ROE,17.6,11.4,17.6,11.4,18.6,12.1,17.6,11.4,17.6,11.4,17.6,11.4
4,ROW,11.9,7.7,11.9,7.7,11.9,7.7,11.9,7.7,11.9,7.7,11.9,7.7
4,USA,40.5,26.2,40.5,26.2,39.8,25.7,40.5,26.2,40.5,26.2,37.4,24.2
5,AUS,2.6,1.5,2.6,1.5,2.6,1.5,2.6,1.5,2.6,1.5,0.0,0.0
5,AUT,1.5,0.9,1.5,0.9,1.5,0.9,1.5,0.9,1.5,0.9,0.0,0.0
5,BRA,1.5,0.9,1.5,0.9,1.5,0.9,1.5,0.9,1.5,0.9,0.0,0.0
5,CHN,62.8,37.1,62.8,37.1,56.0,33.1,62.8,37.1,62.8,37.1,74.1,43.8
5,CZE,1.6,0.9,1.6,0.9,8.5,5.0,1.6,0.9,1.6,0.9,1.2,0.7
5,DEU,4.2,2.5,4.2,2.5,4.2,2.5,4.2,2.5,4.2,2.5,5.6,3.3
5,ITA,4.0,2.4,4.0,2.4,4.0,2.4,4.0,2.4,4.0,2.4,0.0,0.0
5,JPN,9.1,5.4,9.1,5.4,9.1,5.4,9.1,5.4,9.1,5.4,9.1,5.4
5,KOR,7.0,4.1,7.0,4.1,6.9,4.1,7.0,4.1,7.0,4.1,3.6,2.1
5,ROE,18.6,11.0,18.6,11.0,18.6,11.0,18.6,11.0,18.6,11.0,18.6,11.0
5,ROW,11.9,7.0,11.9,7.0,11.9,7.0,11.9,7.0,11.9,7.0,11.9,7.0
5,USA,44.2,26.2,44.2,26.2,44.2,26.2,44.2,26.2,44.2,26.2,44.9,26.6
6,AUS,2.7,1.5,2.7,1.5,2.7,1.5,2.7,1.5,2.7,1.5,0.0,0.0
6,AUT,1.5,0.8,1.5,0.8,1.5,0.8,1.5,0.8,1.5,0.8,0.0,0.0
6,BRA,2.0,1.1,2.0,1.1,1.5,0.8,2.0,1.1,2.0,1.1,0.0,0.0
6,CHN,73.9,39.9,73.7,39.8,64.2,34.7,73.7,39.8,73.7,39.8,80.2,43.3
6,CZE,1.8,1.0,1.8,1.0,11.3,6.1,1.8,1.0,1.8,1.0,1.2,0.7
6,DEU,4.6,2.5,4.8,2.6,4.8,2.6,4.8,2.6,4.8,2.6,5.9,3.2
6,ITA,4.0,2.2,4.0,2.2,4.0,2.2,4.0,2.2,4.0,2.2,0.0,0.0
6,JPN,9.1,4.9,9.1,4.9,9.1,4.9,9.1,4.9,9.1,4.9,13.5,7.3
6,KOR,7.3,3.9,7.3,3.9,7.3,3.9,7.3,3.9,7.3,3.9,3.6,2.0
6,ROE,18.6,10.1,18.6,10.1,18.6,10.1,18.6,10.1,18.6,10.1,19.7,10.6
6,ROW,11.9,6.4,11.9,6.4,11.9,6.4,11.9,6.4,11.9,6.4,11.9,6.4
6,USA,47.8,25.8,47.8,25.8,48.3,26.0,47.8,25.8,47.8,25.8,49.2,26.6
7,AUS,2.8,1.4,2.8,1.4,2.7,1.3,2.8,1.4,2.8,1.4,0.0,0.0
7,AUT,1.5,0.7,1.5,0.7,1.5,0.7,1.5,0.7,1.5,0.7,0.0,0.0
7,BRA,2.0,1.0,2.0,1.0,1.5,0.7,2.0,1.0,2.0,1.0,0.0,0.0
7,CHN,86.7,42.6,86.5,42.5,73.7,36.2,86.5,42.5,86.2,42.4,86.8,42.6
7,CZE,1.9,0.9,1.9,0.9,14.3,7.0,1.9,0.9,1.9,0.9,1.2,0.6
7,DEU,5.0,2.4,5.2,2.5,5.7,2.8,5.2,2.5,5.4,2.7,5.9,2.9
7,ITA,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0
7,JPN,9.7,4.8,9.7,4.8,9.7,4.8,9.7,4.8,9.7,4.8,13.8,6.8
7,KOR,7.3,3.6,7.3,3.6,7.3,3.6,7.3,3.6,7.3,3.6,3.6,1.8
7,ROE,18.6,9.2,18.6,9.2,18.6,9.2,18.6,9.2,18.6,9.2,20.3,10.0
7,ROW,11.9,5.8,11.9,5.8,11.9,5.8,11.9,5.8,11.9,5.8,11.9,5.8
7,USA,52.1,25.6,52.1,25.6,52.6,25.9,52.1,25.6,52.1,25.6,59.9,29.4
8,AUS,2.9,1.3,2.9,1.3,2.9,1.3,2.9,1.3,2.9,1.3,0.0,0.0
8,AUT,1.5,0.7,1.5,0.7,1.5,0.7,1.5,0.7,1.5,0.7,1.2,0.5
8,BRA,2.0,0.9,2.0,0.9,2.0,0.9,2.0,0.9,2.0,0.9,0.0,0.0
8,CHN,93.9,41.9,93.9,41.9,83.2,37.1,93.9,41.9,93.9,41.9,93.9,41.9
8,CZE,2.0,0.9,2.0,0.9,14.3,6.4,2.0,0.9,2.0,0.9,1.2,0.6
8,DEU,6.6,3.0,6.6,3.0,5.7,2.6,6.6,3.0,6.6,3.0,6.7,3.0
8,ITA,5.3,2.4,5.1,2.3,4.0,1.8,5.1,2.3,4.7,2.1,0.0,0.0
8,JPN,13.0,5.8,13.0,5.8,13.0,5.8,13.0,5.8,13.0,5.8,16.5,7.4
8,KOR,7.8,3.5,7.8,3.5,8.4,3.7,7.8,3.5,7.8,3.5,7.4,3.3
8,ROE,21.4,9.5,21.6,9.6,22.1,9.8,21.6,9.6,22.0,9.8,20.3,9.1
8,ROW,11.9,5.3,11.9,5.3,11.9,5.3,11.9,5.3,11.9,5.3,11.9,5.3
8,USA,55.8,24.9,55.8,24.9,55.1,24.6,55.8,24.9,55.8,24.9,65.0,29.0
9,AUS,3.0,1.2,3.0,1.2,3.0,1.2,3.0,1.2,3.0,1.2,0.0,0.0
9,AUT,2.0,0.8,2.0,0.8,1.5,0.6,2.0,0.8,1.6,0.7,1.2,0.5
9,BRA,2.0,0.8,2.0,0.8,2.0,0.8,2.0,0.8,2.0,0.8,2.8,1.1
9,CHN,101.6,41.1,101.6,41.1,99.7,40.3,101.6,41.1,101.6,41.1,101.6,41.1
9,CZE,2.1,0.8,2.1,0.8,14.3,5.8,2.1,0.8,2.1,0.8,1.2,0.5
9,DEU,7.1,2.9,7.1,2.9,5.7,2.3,7.1,2.9,7.1,2.9,6.7,2.7
9,ITA,6.7,2.7,6.7,2.7,5.1,2.1,6.7,2.7,6.7,2.7,0.0,0.0
9,JPN,17.8,7.2,17.8,7.2,14.0,5.7,17.8,7.2,17.8,7.2,17.8,7.2
9,KOR,8.4,3.4,8.4,3.4,8.4,3.4,8.4,3.4,8.4,3.4,13.3,5.4
9,ROE,23.3,9.4,23.3,9.4,26.7,10.8,23.3,9.4,23.3,9.4,20.3,8.2
9,ROW,11.9,4.8,11.9,4.8,11.9,4.8,11.9,4.8,11.9,4.8,11.9,4.8
9,USA,61.5,24.9,61.5,24.9,55.1,22.3,61.5,24.9,61.9,25.0,70.5,28.5
10,AUS,3.1,1.1,3.1,1.1,3.1,1.1,3.1,1.1,3.1,1.1,2.3,0.8
10,AUT,2.2,0.8,2.6,0.9,1.5,0.5,2.6,0.9,2.6,0.9,1.2,0.4
10,BRA,2.0,0.7,2.0,0.7,2.0,0.7,2.0,0.7,2.0,0.7,10.3,3.8
10,CHN,109.9,40.2,109.9,40.2,109.9,40.2,109.9,40.2,109.9,40.2,109.9,40.2
10,CZE,2.2,0.8,2.2,0.8,14.3,5.2,2.2,0.8,2.2,0.8,1.2,0.5
10,DEU,7.5,2.7,7.5,2.7,5.7,2.1,7.5,2.7,7.5,2.7,6.7,2.4
10,ITA,7.0,2.6,7.0,2.6,7.0,2.6,7.0,2.6,7.0,2.6,0.0,0.0
10,JPN,19.1,7.0,19.1,7.0,19.1,7.0,19.1,7.0,19.1,7.0,19.1,7.0
10,KOR,14.4,5.3,14.0,5.1,9.6,3.5,14.0,5.1,14.0,5.1,14.4,5.3
10,ROE,24.7,9.0,24.7,9.0,34.4,12.6,24.7,9.0,24.7,9.0,20.3,7.4
10,ROW,11.9,4.3,11.9,4.3,11.9,4.3,11.9,4.3,11.9,4.3,11.9,4.3
10,USA,69.7,25.5,69.7,25.5,55.1,20.1,69.7,25.5,69.7,25.5,76.4,27.9
11,AUS,3.3,1.1,7.0,2.3,7.0,2.3,7.0,2.3,7.0,2.3,0.0,0.0
11,AUT,2.8,0.9,2.6,0.9,1.5,0.5,2.6,0.9,2.6,0.9,0.0,0.0
11,BRA,10.3,3.4,2.0,0.7,2.0,0.7,2.0,0.7,2.0,0.7,0.0,0.0
11,CHN,118.9,39.2,109.9,36.2,109.9,36.2,109.9,36.2,112.6,37.1,162.3,53.5
11,CZE,2.3,0.8,2.2,0.7,14.3,4.7,2.2,0.7,4.6,1.5,1.2,0.4
11,DEU,7.9,2.6,7.5,2.5,5.7,1.9,7.5,2.5,7.5,2.5,6.7,2.2
11,ITA,7.5,2.5,7.0,2.3,7.0,2.3,7.0,2.3,7.0,2.3,0.0,0.0
11,JPN,20.6,6.8,19.1,6.3,22.3,7.3,19.1,6.3,19.1,6.3,19.1,6.3
11,KOR,15.5,5.1,14.0,4.6,9.6,3.2,14.0,4.6,14.0,4.6,3.6,1.2
11,ROE,26.1,8.6,29.8,9.8,34.4,11.3,29.8,9.8,32.0,10.5,20.3,6.7
11,ROW,11.9,3.9,32.8,10.8,34.7,11.4,32.8,10.8,25.5,8.4,13.9,4.6
11,USA,76.5,25.2,69.7,23.0,55.1,18.2,69.7,23.0,69.7,23.0,76.4,25.2
12,AUS,3.4,1.0,8.0,2.4,8.0,2.4,8.0,2.4,8.0,2.4,0.0,0.0
12,AUT,3.0,0.9,2.6,0.8,1.5,0.4,2.6,0.8,2.6,0.8,0.0,0.0
12,BRA,10.4,3.1,3.0,0.9,3.0,0.9,3.0,0.9,3.0,0.9,0.0,0.0
12,CHN,128.7,38.7,115.8,34.3,122.5,36.3,115.8,34.3,115.8,34.3,171.9,50.9
12,CZE,2.5,0.8,2.2,0.7,14.3,4.2,2.2,0.7,4.6,1.4,1.2,0.4
12,DEU,8.4,2.5,7.5,2.2,5.7,1.7,7.5,2.2,7.5,2.2,6.7,2.0
12,ITA,7.9,2.4,8.3,2.5,8.3,2.5,8.3,2.5,8.3,2.5,0.0,0.0
12,JPN,22.2,6.7,23.6,7.0,32.8,9.7,23.6,7.0,23.6,7.0,19.1,5.7
12,KOR,16.6,5.0,14.0,4.1,10.3,3.1,14.0,4.1,14.0,4.1,3.6,1.1
12,ROE,27.6,8.3,48.2,14.3,41.4,12.3,48.2,14.3,45.9,13.6,20.3,6.0
12,ROW,11.9,3.6,34.7,10.3,34.7,10.3,34.7,10.3,34.7,10.3,38.3,11.4
12,USA,89.9,27.0,69.7,20.7,55.1,16.3,69.7,20.7,69.7,20.7,76.4,22.6
13,AUS,3.5,1.0,9.0,2.4,9.0,2.4,9.0,2.4,9.0,2.4,0.0,0.0
13,AUT,3.1,0.9,2.6,0.7,1.5,0.4,2.6,0.7,2.6,0.7,0.0,0.0
13,BRA,10.4,2.9,3.0,0.8,3.0,0.8,3.0,0.8,3.0,0.8,0.0,0.0
13,CHN,139.2,39.1,116.9,31.1,133.5,35.5,116.9,31.1,116.9,31.1,195.8,52.0
13,CZE,2.6,0.7,2.2,0.6,14.3,3.8,2.2,0.6,8.1,2.1,1.2,0.3
13,DEU,8.9,2.5,7.5,2.0,5.7,1.5,7.5,2.0,7.5,2.0,6.7,1.8
13,ITA,8.4,2.4,9.7,2.6,9.7,2.6,9.7,2.6,9.7,2.6,0.0,0.0
13,JPN,23.9,6.7,31.8,8.5,32.8,8.7,31.8,8.5,31.8,8.5,19.1,5.1
13,KOR,17.9,5.0,14.0,3.7,11.1,2.9,14.0,3.7,14.0,3.7,3.6,1.0
13,ROE,29.2,8.2,75.1,20.0,65.9,17.5,75.1,20.0,69.3,18.4,20.3,5.4
13,ROW,11.9,3.3,34.7,9.2,34.7,9.2,34.7,9.2,34.7,9.2,53.1,14.1
13,USA,97.4,27.3,69.7,18.5,55.1,14.6,69.7,18.5,69.7,18.5,76.4,20.3
