technology,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Aluminium_production,2.5,2.6,2.7,2.9,3.0,3.1,3.2,3.2,3.3,3.4,3.4,3.4,3.4,3.4
Aluminium_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,0.9,0.9,1.0,1.1,1.2,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.6
Bauxite_mining,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
Bauxite_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Compressor_manufacturing,40.5,39.0,37.4,35.7,33.6,32.0,30.4,28.7,26.6,24.6,22.7,22.4,21.9,21.5
Compressor_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Compressor_transport,1.6,1.7,2.5,2.6,3.3,3.6,3.8,4.0,4.6,5.1,5.7,4.8,5.3,5.5
Copper_mining,6.0,6.1,6.3,6.5,6.6,6.7,7.0,7.3,7.5,7.7,7.9,8.0,8.0,8.1
Copper_ore_transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copper_recycling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copper_refinement,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7
Copper_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copper_transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,16.9,16.4,15.8,15.2,14.5,13.7,13.1,13.4,13.7,13.6,13.5,13.3,13.0,12.8
HEX_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEX_transport,1.4,1.5,2.0,2.6,3.0,3.6,3.9,3.7,3.6,3.9,4.4,5.0,5.2,5.3
HP_assembly,22.6,22.8,23.0,23.2,24.1,24.7,25.1,25.4,25.9,26.1,26.3,26.1,25.9,25.9
HP_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP_transport,1.8,2.5,2.4,3.0,3.1,3.5,4.1,4.6,5.0,5.4,5.8,6.4,6.8,6.8
Iron_mining,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Iron_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iron_transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nickel_mining,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.4
Nickel_recycling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nickel_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refrigerant_transport,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.6,0.6
Steel_production,3.4,3.6,3.8,4.0,4.2,4.3,4.4,4.5,4.6,4.6,4.7,4.7,4.7,4.7
Steel_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steel_transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
