,avg_contribution_base,avg_contribution_S1,avg_contribution_S2,avg_contribution_S3,avg_contribution_S4,avg_contribution_S5
Compressor_manufacturing,29.8,30.0,30.1,30.4,30.0,31.2
HP_assembly,24.8,25.1,25.1,25.4,25.0,27.2
HEX_manufacturing,14.2,14.3,14.6,14.5,14.3,14.9
Copper_mining,7.1,7.1,7.1,6.0,7.1,7.7
HP_transport,4.4,4.3,4.2,4.4,4.3,1.9
Steel_production,4.3,4.3,4.3,4.4,4.3,4.6
Compressor_transport,3.9,3.5,3.4,3.6,3.5,1.8
HEX_transport,3.5,3.2,2.9,3.3,3.2,1.0
Aluminium_production,3.1,3.1,3.1,3.2,3.1,3.4
Nickel_mining,2.1,2.1,2.1,1.4,2.1,2.2
Aluminium_transport,1.3,1.3,1.3,1.3,1.3,0.6
Copper_refinement,0.6,0.6,0.6,0.5,0.6,0.7
Iron_mining,0.4,0.4,0.4,0.4,0.4,0.4
Refrigerant_transport,0.3,0.3,0.4,0.3,0.3,0.6
Bauxite_mining,0.2,0.2,0.2,0.2,0.2,0.3
Iron_storage,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,0.0,0.0,0.0,0.0,0.0,0.0
HP_storage,0.0,0.0,0.0,0.0,0.0,0.0
HEX_storage,0.0,0.0,0.0,0.0,0.0,0.0
Nickel_storage,0.0,0.0,0.0,0.0,0.0,0.0
Copper_storage,0.0,0.0,0.0,0.0,0.0,0.0
Compressor_storage,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,0.0,0.0,0.0,0.0,0.0,0.0
Copper_transport,0.0,0.0,0.0,0.0,0.0,0.6
Steel_transport,0.0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,0.0,0.0,0.0,0.0,0.0,0.0
Iron_transport,0.0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,0.0,0.0,0.0,0.0,0.0,0.8
Bauxite_transport,0.0,0.0,0.0,0.0,0.0,0.1
Nickel_recycling,0.0,0.0,0.0,0.5,0.0,0.0
Copper_recycling,0.0,0.0,0.0,0.1,0.0,0.0
Steel_storage,0.0,0.0,0.0,0.0,0.0,0.0
