technology,timestep,AUS_exports,AUS_imports,AUT_exports,AUT_imports,BRA_exports,BRA_imports,CHN_exports,CHN_imports,CZE_exports,CZE_imports,DEU_exports,DEU_imports,ITA_exports,ITA_imports,JPN_exports,JPN_imports,KOR_exports,KOR_imports,ROE_exports,ROE_imports,ROW_exports,ROW_imports,USA_exports,USA_imports
HP_transport,0,0.0,9.768564000000001,0.0,0.39363199999999976,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.8879999999999997,0.0,4.018792,1.7320000000000002,0.0,2.3786890000000005,0.0,0.0,8.588592,5.069964000000001,0.0,0.0,3.5230729999999997
HP_transport,1,0.0,9.768564000000001,0.0,0.39363199999999976,0.0,0.0,18.045039999999997,0.0,0.0,0.0,0.0,1.9333999999999987,0.0,4.701987,1.7773999999999992,0.0,2.0553030000000003,0.0,0.0,7.310245999999996,5.753159,0.0,0.0,3.5230729999999997
HP_transport,2,0.0,9.311696000000001,0.0,0.29904000000000497,0.0,0.0,17.060662000000004,0.0,0.4803929999999999,0.0,0.0,0.584483,0.0,4.701987,2.2795810000000003,0.0,1.7085810000000006,0.0,0.0,9.571166,5.753159,0.0,0.0,2.8140039999999966
HP_transport,3,0.0,9.768564000000001,0.869554,0.0,0.0,0.0,18.974297999999997,0.0,0.4803929999999999,0.0,1.226155,0.0,0.0,2.4365500000000004,1.784510000000001,0.0,1.3368380000000002,0.0,0.0,13.578264000000003,5.749034,0.0,0.0,4.6374039999999965
HP_transport,4,0.0,10.243706000000001,0.869554,0.107176,0.0,0.0,30.757352999999995,0.0,0.34956,0.0,1.226155,0.5140539999999998,0.0,3.5307630000000003,1.2537140000000004,0.0,0.9382679999999999,0.0,0.0,18.266568999999997,5.305160000000001,0.0,0.0,8.037495999999997
HP_transport,5,0.0,10.737855000000001,0.869554,0.2325719999999999,4.658794000000006,0.0,38.021818999999994,0.0,0.196485,0.0,1.226155,1.115497,0.0,4.810993,0.6846139999999998,0.0,1.898922000000001,0.0,0.0,23.751886,4.829255000000001,0.0,0.0,11.736795
HP_transport,6,0.0,11.251769000000001,0.869554,0.3792849999999998,10.2,0.0,43.010425000000005,0.0,0.2095439999999999,0.1921569999999999,1.226155,1.819184999999999,0.0,6.308860999999999,2.155144000000001,0.0,3.892766999999999,0.0,0.0,30.169705999999998,4.319007,0.0,0.0,15.761633000000007
HP_transport,7,0.0,11.786240000000001,0.7081219999999998,0.38950699999999966,10.2,0.0,48.46479299999999,0.0,0.0,0.1921569999999999,1.226155,2.6425,0.0,8.061368,5.580246000000001,0.0,4.201535,0.0,0.0,35.319383999999985,3.7719380000000005,0.0,0.0,15.761633000000007
HP_transport,8,0.0,12.342089000000001,0.5072869999999998,0.38950699999999966,10.3,0.0,54.383871,0.0,0.0712920000000052,0.1921569999999999,0.2628760000000003,2.6425,0.0,10.1118,6.078837,0.0,4.574854,0.0,0.0,41.813911,3.185391000000001,0.0,0.0,11.872444000000005
HP_transport,9,0.0,12.920173,0.2723089999999999,0.38950699999999966,10.3,0.0,60.86656999999998,0.0,0.1379879999999997,0.1921569999999999,0.0,3.50666,0.0,12.510805999999997,6.626812000000001,0.0,4.910166,0.0,0.0,47.44277499999999,2.5565160000000002,0.0,0.0,8.708282999999998
HP_transport,10,0.0,13.52138,0.0,0.3921209999999998,10.3,0.0,67.91177000000002,0.0,0.0,0.38977700000000004,0.0,4.825291999999999,0.0,15.317643,7.120518000000001,0.0,5.404728,0.0,0.0,58.069047,1.8822600000000012,0.0,4.1258989999999915,4.229915000000005
HP_transport,11,0.0,12.956634999999999,0.2533879999999966,0.38950699999999966,10.3,0.0,75.61831500000001,0.0,0.0,0.40243900000000016,0.0,4.888092,0.0,18.601642999999996,7.756039000000001,0.0,5.855600000000001,0.0,0.0,70.73978500000001,1.1593470000000003,0.0,12.924311000000008,5.888899
HP_transport,12,0.0,13.340900999999999,0.4098749999999999,0.0,10.4,0.0,84.085016,0.0,0.0,0.6618539999999999,0.0,4.023166999999999,0.0,17.918447999999998,8.429177,0.0,6.259629000000002,0.0,0.0,81.38292100000001,0.3842660000000002,0.0,13.183726000000007,5.824398000000002
HP_transport,13,0.0,14.083176000000003,0.45906099999999994,0.38950699999999966,10.4,0.0,93.210643,0.0,0.0,1.0993689999999998,0.0,4.888092,0.0,17.918447999999998,9.135429999999998,0.0,6.813433999999998,0.0,0.0,89.235725,0.0,0.0,13.621241000000008,6.025491999999997
