year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
0,4129592.792959471,4129592.792959471,4129493.925671859,4129592.792959471,4129592.792959471,4129592.792959471
1,4134196.137567851,4134196.137567851,4141830.889222319,4134196.137567851,4134196.137567851,4129592.792959471
2,4139950.318328326,4139950.318328326,4159717.896124165,4139950.318328326,4139950.318328326,4139728.8782506003
3,4181320.5701511735,4181320.5701511735,4216175.390440018,4181320.5701511735,4181320.5701511735,4211041.833763888
4,4317795.209512101,4317795.209512101,4368736.513333303,4317795.209512101,4317795.209512003,4312970.362476921
5,4466827.554532476,4466827.554532476,4551372.704059088,4466827.554532476,4466827.554532311,4458871.518039652
6,4649218.237584061,4649218.237584061,4742679.651455602,4649218.237584061,4649407.99505756,4638893.2149466425
7,4918873.422946416,4918873.422946416,4972882.790996677,4918873.422946416,4918873.422946252,4897371.229374097
8,5220689.488040005,5220689.488040004,5316343.989661635,5220689.488040004,5220689.48803985,5163860.515542733
9,5578374.357833421,5578082.839178996,5743481.773495125,5578082.839178995,5578745.441811872,5560324.064973472
10,5990517.567636159,5990688.065616287,6225398.286610861,5990688.065616287,5992165.676113809,5986181.103337197
11,6649507.347668013,6681479.509064015,6783466.470779632,6681479.509064015,6691384.266491541,6965226.140976649
12,7294245.392427783,7572292.226719607,7480609.702405476,7572292.226719607,7570094.7862920435,7800783.870849982
13,7782343.775435226,8594159.766056797,8465863.529076489,8594159.766056797,8571432.24442754,8773681.636804122
