carrier,value_scenario__time_0,value_scenario__time_1,value_scenario__time_2,value_scenario__time_3,value_scenario__time_4,value_scenario__time_5,value_scenario__time_6,value_scenario__time_7,value_scenario__time_8,value_scenario__time_9,value_scenario__time_10,value_scenario__time_11,value_scenario__time_12,value_scenario__time_13,value_scenario_S1_time_0,value_scenario_S1_time_1,value_scenario_S1_time_2,value_scenario_S1_time_3,value_scenario_S1_time_4,value_scenario_S1_time_5,value_scenario_S1_time_6,value_scenario_S1_time_7,value_scenario_S1_time_8,value_scenario_S1_time_9,value_scenario_S1_time_10,value_scenario_S1_time_11,value_scenario_S1_time_12,value_scenario_S1_time_13,value_scenario_S2_time_0,value_scenario_S2_time_1,value_scenario_S2_time_2,value_scenario_S2_time_3,value_scenario_S2_time_4,value_scenario_S2_time_5,value_scenario_S2_time_6,value_scenario_S2_time_7,value_scenario_S2_time_8,value_scenario_S2_time_9,value_scenario_S2_time_10,value_scenario_S2_time_11,value_scenario_S2_time_12,value_scenario_S2_time_13,value_scenario_S3_time_0,value_scenario_S3_time_1,value_scenario_S3_time_2,value_scenario_S3_time_3,value_scenario_S3_time_4,value_scenario_S3_time_5,value_scenario_S3_time_6,value_scenario_S3_time_7,value_scenario_S3_time_8,value_scenario_S3_time_9,value_scenario_S3_time_10,value_scenario_S3_time_11,value_scenario_S3_time_12,value_scenario_S3_time_13,value_scenario_S4_time_0,value_scenario_S4_time_1,value_scenario_S4_time_2,value_scenario_S4_time_3,value_scenario_S4_time_4,value_scenario_S4_time_5,value_scenario_S4_time_6,value_scenario_S4_time_7,value_scenario_S4_time_8,value_scenario_S4_time_9,value_scenario_S4_time_10,value_scenario_S4_time_11,value_scenario_S4_time_12,value_scenario_S4_time_13,total,percentage_of_total
Iron,3318.0119999999997,3593.3639814119997,3900.181388028,4242.820799495999,4626.305715876,5056.434437868001,5539.905224616001,6084.462674832001,6699.067722600001,7394.09692734,8181.573897672,9075.440262396,9939.09,10653.5088,3318.0119999999997,3593.3639814119997,3900.181388028,4242.820799495999,4626.305715876,5056.434437868,5539.905224616001,6084.462674832,6699.0677226,7394.09692734,8181.573897672,9075.440262386432,10091.871031082435,11249.643730399306,3318.0119999999997,3593.3639814119997,3900.181388028,4242.820799496,4626.305715876001,5056.434437868,5539.905224616001,6084.462674832,6699.067722600001,7394.096927330435,8181.573897681566,9075.440262386435,10091.871031082435,11249.643730399304,3318.0120000000006,3593.363981412,3900.181388028001,4242.820799496,4626.305715875999,5056.434437868001,5539.905224616001,6084.4626748320015,6699.0677226,7394.096927340001,8181.573897672,9075.440262396,10091.871031092,11249.643730428004,3318.0119999999997,3593.3639814119997,3900.181388028,4242.820799496,4626.305715876,5056.434437868,5539.905224616001,6084.462674832,6699.0677226,7394.0969273400015,8181.573897672,9075.440262396,9939.09,10653.5088,443768.0670451446,35.84
Steel,2073.7574999999997,2245.8524883825,2437.6133675174997,2651.762999685,2891.4410724225004,3160.2715236675003,3462.4407653850003,3802.7891717700004,4186.917326625,4621.3105795875,5113.483686045001,5672.150163997501,6211.93125,6658.442999999999,2073.7574999999997,2245.8524883825,2437.6133675174997,2651.762999685,2891.4410724225,3160.2715236675003,3462.4407653850003,3802.78917177,4186.917326625,4621.3105795875,5113.483686045001,5672.150163991521,6307.419394426522,7031.027331499567,2073.7574999999997,2245.8524883825003,2437.6133675174997,2651.762999685,2891.441072422501,3160.2715236675003,3462.4407653850003,3802.78917177,4186.917326625,4621.310579581522,5113.483686050979,5672.150163991522,6307.419394426523,7031.027331499565,2073.7575,2245.8524883825003,2437.6133675175006,2651.762999685,2891.4410724225,3160.2715236675003,3462.4407653850003,3802.789171770001,4186.917326625,4621.3105795875,5113.483686045001,5672.150163997501,6307.419394432501,7031.027331517502,2073.7574999999997,2245.8524883825003,2437.6133675174997,2651.762999685,2891.4410724225,3160.2715236675003,3462.4407653850003,3802.78917177,4186.917326625,4621.310579587501,5113.483686045001,5672.150163997501,6211.931250000001,6658.442999999999,277355.0419032152,22.4
Bauxite,1793.76,1942.61882576,2108.48826544,2293.72354208,2501.0404244799997,2733.57354864,2994.9440796799995,3289.33884736,3621.602248,3997.3439832,4423.06417056,4906.29983408,5373.2,5759.424,1793.76,1942.61882576,2108.48826544,2293.72354208,2501.04042448,2733.57354864,2994.9440796799995,3289.33884736,3621.602248,3997.3439831999995,4423.06417056,4906.299834074829,5455.795392154828,6081.702217424486,1793.76,1942.61882576,2108.4882654400003,2293.72354208,2501.04042448,2733.57354864,2994.9440796799995,3289.33884736,3621.602248,3997.343983194829,4423.0641705651715,4906.299834074829,5455.795392154828,6081.702217424486,1793.7600000000002,1942.6188257600002,2108.48826544,2293.7235420800002,2501.0404244799997,2733.57354864,2994.9440796799995,3289.33884736,3621.6022479999997,3997.3439831999995,4423.06417056,4906.29983408,5455.79539216,6081.702217439999,1793.7600000000002,1942.61882576,2108.48826544,2293.7235420800002,2501.04042448,2733.5735486400004,2994.94407968,3289.3388473600003,3621.602248,3997.343983200001,4423.06417056,4906.299834080001,5373.200000000001,5759.424,239906.72967514838,19.38
Copper,612.0262499999999,662.8164944637499,719.4107161862498,782.6125111474998,853.3484926037502,932.6881902112498,1021.8671360975,1122.3138656949998,1235.6812744375,1363.88337793125,1509.1379994075,1674.0167518662502,1833.321875,1965.1005,612.0262499999999,662.8164944637499,719.4107161862499,782.6125111475,853.3484926037501,932.6881902112499,1021.8671360975,1122.313865695,1235.6812744375,1363.88337793125,1509.1379994075,1674.0167518644855,1861.5032081369852,2075.0609901809567,612.0262499999999,662.8164944637497,719.4107161862499,782.6125111475,853.3484926037501,932.68819021125,1021.8671360975,1122.313865695,1235.6812744375002,1363.8833779294855,1509.1379994092645,1674.0167518644857,1861.5032081369854,2075.0609901809567,612.0262499999999,662.8164944637499,719.41071618625,782.6125111475001,853.3484926037498,932.68819021125,1021.8671360975,1122.313865695,1235.6812744375002,1363.88337793125,1509.1379994075,1674.0167518662502,1861.50320813875,2075.06099018625,612.0262499999999,662.8164944637499,719.41071618625,782.6125111475,853.34849260375,932.68819021125,1021.8671360975,1122.313865695,1235.6812744375,1363.88337793125,1509.1379994075,1674.0167518662502,1833.321875,1965.1004999999996,81855.55264519485,6.61
Copper_ore,612.0262499999999,662.8164944637499,719.4107161862498,782.6125111474998,853.3484926037502,932.6881902112498,1021.8671360975,1122.3138656949998,1235.6812744375,1363.88337793125,1509.1379994075,1674.0167518662502,1833.321875,1965.1005,612.0262499999999,662.8164944637499,719.4107161862499,782.6125111475,853.3484926037501,932.6881902112499,1021.8671360975,1122.313865695,1235.6812744375,1363.88337793125,1509.1379994075,1674.0167518644855,1861.5032081369852,2075.0609901809567,612.0262499999999,662.8164944637497,719.4107161862499,782.6125111475,853.3484926037501,932.68819021125,1021.8671360975,1122.313865695,1235.6812744375002,1363.8833779294855,1509.1379994092645,1674.0167518644857,1861.5032081369854,2075.0609901809567,612.0262499999999,662.8164944637499,719.41071618625,782.6125111475001,853.3484926037498,932.68819021125,1021.8671360975,1122.313865695,1235.6812744375002,1363.88337793125,1509.1379994075,1674.0167518662502,1861.50320813875,2075.06099018625,612.0262499999999,662.8164944637499,719.41071618625,782.6125111475,853.34849260375,932.68819021125,1021.8671360975,1122.313865695,1235.6812744375,1363.88337793125,1509.1379994075,1674.0167518662502,1833.321875,1965.1004999999996,81855.55264519485,6.61
Aluminium,448.44,485.65470644,527.12206636,573.43088552,625.2601061199999,683.3933871600001,748.73601992,822.3347118400001,905.4005620000001,999.3359958000001,1105.76604264,1226.57495852,1343.3,1439.8559999999998,448.44,485.65470644,527.12206636,573.43088552,625.26010612,683.39338716,748.73601992,822.3347118400001,905.4005620000001,999.3359958,1105.76604264,1226.574958518707,1363.948848038707,1520.4255543561214,448.44,485.65470644,527.1220663600001,573.43088552,625.26010612,683.39338716,748.73601992,822.3347118400001,905.4005620000001,999.3359957987074,1105.7660426412929,1226.574958518707,1363.948848038707,1520.4255543561214,448.44,485.65470644,527.12206636,573.43088552,625.2601061199998,683.3933871600001,748.7360199200001,822.3347118400001,905.400562,999.3359958,1105.76604264,1226.57495852,1363.94884804,1520.4255543599998,448.44,485.6547064399999,527.12206636,573.43088552,625.26010612,683.3933871600001,748.7360199200001,822.3347118400001,905.400562,999.3359958000002,1105.76604264,1226.57495852,1343.3,1439.8559999999998,59976.682418787095,4.84
Compressor,111.0,120.21156099999999,130.47575899999998,141.938338,154.767353,169.156779,185.330698,203.548196,224.10905,247.36039499999998,273.704466,303.60766300000006,332.5,356.40000000000003,111.0,120.211561,130.475759,141.938338,154.767353,169.156779,185.330698,203.548196,224.10905,247.36039499999998,273.70446599999997,303.60766299968,337.61110099968,376.34295899904004,111.0,120.211561,130.475759,141.93833800000002,154.767353,169.156779,185.33069799999998,203.54819600000002,224.10905000000002,247.36039499968,273.70446600032,303.60766299968003,337.61110099968,376.34295899904,111.0,120.211561,130.475759,141.938338,154.76735299999999,169.156779,185.33069799999998,203.548196,224.10905,247.360395,273.704466,303.607663,337.611101,376.34295900000006,111.0,120.21156099999999,130.475759,141.938338,154.767353,169.156779,185.330698,203.54819600000002,224.10904999999997,247.360395,273.704466,303.60766300000006,332.5,356.4,14845.713469996797,1.2
HEX,111.0,120.21156099999999,130.475759,141.93833800000002,154.767353,169.156779,185.330698,203.548196,224.10905,247.36039499999998,273.70446599999997,303.607663,332.5,356.4,111.00000000000001,120.211561,130.475759,141.93833800000002,154.767353,169.156779,185.33069799999998,203.548196,224.10905000000002,247.36039499999995,273.70446599999997,303.60766299968,337.61110099967993,376.34295899904,111.0,120.211561,130.475759,141.93833800000002,154.767353,169.156779,185.330698,203.548196,224.10905,247.36039499967998,273.70446600032,303.60766299968003,337.61110099968,376.34295899904,111.0,120.211561,130.475759,141.938338,154.76735299999996,169.156779,185.33069799999998,203.548196,224.10905,247.36039499999998,273.704466,303.607663,337.611101,376.342959,111.0,120.21156099999999,130.475759,141.938338,154.76735299999999,169.15677900000003,185.330698,203.548196,224.10905,247.36039499999998,273.70446599999997,303.607663,332.5,356.4,14845.713469996797,1.2
HP,111.0,120.211561,130.47575899999998,141.938338,154.767353,169.156779,185.330698,203.548196,224.10905,247.36039499999998,273.704466,303.607663,332.5,356.4,111.0,120.211561,130.47575899999998,141.938338,154.767353,169.15677899999997,185.33069799999998,203.548196,224.10905,247.36039499999998,273.704466,303.60766299968,337.61110099968,376.34295899904,111.0,120.21156099999999,130.475759,141.938338,154.767353,169.156779,185.33069799999998,203.548196,224.10905000000002,247.36039499967998,273.70446600032,303.60766299968003,337.61110099968,376.34295899904004,111.0,120.211561,130.475759,141.938338,154.76735299999996,169.156779,185.33069799999998,203.548196,224.10905,247.36039499999998,273.704466,303.607663,337.611101,376.342959,111.0,120.21156099999999,130.475759,141.938338,154.76735299999999,169.156779,185.330698,203.54819600000002,224.10904999999997,247.36039499999998,273.704466,303.607663,332.5,356.4,14845.713469996797,1.2
Nickel,66.6,72.1269366,78.2854554,85.1630028,92.8604118,101.4940674,111.1984188,122.12891760000002,134.46543,148.41623700000002,164.2226796,182.1645978,199.5,213.83999999999995,66.6,72.1269366,78.28545539999999,85.1630028,92.8604118,101.4940674,111.19841879999998,122.1289176,134.46543000000003,148.41623699999997,164.22267960000002,182.164597799808,202.566660599808,225.805775399424,66.6,72.1269366,78.28545539999999,85.1630028,92.8604118,101.4940674,111.1984188,122.1289176,134.46543000000003,148.416236999808,164.222679600192,182.164597799808,202.566660599808,225.805775399424,66.6,72.1269366,78.2854554,85.1630028,92.86041179999998,101.4940674,111.1984188,122.1289176,134.46543000000003,148.41623699999997,164.22267960000002,182.1645978,202.5666606,225.8057754,66.6,72.1269366,78.2854554,85.16300279999999,92.8604118,101.4940674,111.1984188,122.1289176,134.46542999999997,148.41623700000002,164.2226796,182.1645978,199.5,213.83999999999995,8907.428081998081,0.72
