carrier,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,total,percentage_of_total
Aluminium,11934.61,12035.82,12035.82,12035.82,11934.61,59976.68,4.84
Bauxite,47738.42,48143.3,48143.3,48143.3,47738.42,239906.74,19.38
Compressor,2954.11,2979.16,2979.16,2979.16,2954.11,14845.7,1.2
Copper,16288.23,16426.37,16426.37,16426.37,16288.23,81855.56999999999,6.61
Copper_ore,16288.23,16426.37,16426.37,16426.37,16288.23,81855.56999999999,6.61
HEX,2954.11,2979.16,2979.16,2979.16,2954.11,14845.7,1.2
HP,2954.11,2979.16,2979.16,2979.16,2954.11,14845.7,1.2
Iron,88304.26,89053.18,89053.18,89053.18,88304.26,443768.06,35.84
Nickel,1772.47,1787.5,1787.5,1787.5,1772.47,8907.44,0.72
Steel,55190.16,55658.24,55658.24,55658.24,55190.16,277355.04,22.4
