year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,448595.29008000006,448595.2900800001,448595.29008000006,448595.29008000006,448595.29008000006
1,509003.2435851884,509003.24358518835,509003.24358518835,509003.24358518835,509003.2435851884
2,576314.2232934101,576314.2232934103,576314.22329341,576314.2232934103,576314.2232934101
3,651483.9952008589,651483.9952008587,651483.9952008585,651483.9952008586,651483.9952008589
4,735614.6372969555,735614.6372969555,735614.637296955,735614.6372969555,735614.6372969555
5,829978.2068129524,829978.2068129524,829978.2068129521,829978.2068129524,829978.2068129524
6,936044.1979027017,936044.1979027019,936044.1979027016,936044.1979027017,936044.1979027017
7,1055511.6553906193,1055511.6553906195,1055511.6553906193,1055511.6553906195,1055511.6553906193
8,1190346.4692141358,1190346.469214136,1190346.4692141355,1190346.4692141358,1190346.4692141358
9,1342825.0955504423,1342825.0955504426,1342825.0955483436,1342825.0955504423,1342825.0955504423
10,0.0,1515585.3276224418,1515585.3276245403,1515585.327622442,0.0
11,0.0,1711685.7425264039,1711685.7425264039,1711685.7425285028,0.0
12,0.0,1934674.8864641741,1934674.8864641744,1934674.8864662733,0.0
13,0.0,2188672.257506378,2188672.257506379,2188672.2575126737,0.0
